timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-01-05T06:25:00,16.4,1.0,10.134,16.4,1.0,10.134,15.8,1.8,11.149,16.6,2.0,4.47
2022-01-06T06:14:30,15.6,1.5,7.173,15.6,1.5,7.173,15.4,1.3,12.989,14.6,1.0,3.565
2022-01-07T06:15:00,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-08T07:39:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-10T06:25:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-12T06:16:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-13T06:20:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-14T06:44:00,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-15T07:16:00,16.0,0.7,11.921,16.0,0.7,11.921,15.4,1.8,11.847,-1.0,0.0,2.442
2022-01-16T07:14:30,15.8,1.0,6.454,15.8,1.0,6.454,15.8,1.5,12.449,14.2,0.5,3.711
2022-01-17T07:39:00,16.4,1.8,6.254,-1.0,0.0,0.0,16.4,1.8,6.254,-1.0,0.0,0.0
2022-01-18T09:48:30,16.2,1.6,15.681,16.2,1.6,15.681,15.6,1.4,11.882,15.6,2.3,5.701
2022-01-19T07:08:30,16.6,1.5,6.73,16.6,1.5,6.73,16.0,1.3,17.909,15.2,2.1,8.564
2022-01-20T04:55:30,16.2,0.9,6.398,16.2,0.9,6.398,16.0,1.7,14.678,9.6,0.6,3.169
2022-01-21T07:20:30,16.2,1.0,9.053,16.2,1.0,9.053,16.0,1.7,14.049,15.2,3.3,5.122
2022-01-22T07:20:00,16.4,1.5,9.995,16.4,1.5,9.995,15.2,2.2,13.056,15.8,0.8,2.584
2022-01-23T07:51:30,17.2,1.4,6.253,17.2,1.4,6.253,16.6,1.9,13.197,17.2,1.9,5.454
2022-01-23T09:19:00,17.2,1.4,6.253,17.2,1.4,6.253,16.6,1.8,13.797,17.2,1.9,5.454
2022-01-24T06:30:30,16.6,0.9,13.792,16.6,0.9,13.792,15.8,1.8,12.37,15.0,1.8,6.273
2022-01-25T06:35:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-26T06:56:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-27T06:53:30,14.8,1.2,13.67,14.8,1.2,13.67,15.2,1.4,10.317,14.0,1.9,5.395
2022-01-28T07:21:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-29T07:42:00,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-30T07:53:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-01-31T06:56:30,15.8,1.3,11.057,15.8,1.3,11.057,15.4,1.4,20.799,15.4,3.1,4.739
2022-02-01T06:57:00,14.8,2.1,13.651,14.8,2.1,13.651,14.6,1.7,21.536,14.6,3.1,7.472
2022-02-02T06:43:30,16.0,1.2,13.092,16.0,1.2,13.092,15.8,1.5,9.622,-1.0,0.0,2.255
2022-02-03T05:52:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-02-04T05:53:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
